Reporting period,Period of coverage,Breakdown,CCG Code,Level,Level description,Gender,Indicator value,CI lower,CI upper,Denominator,Numerator
2019,01/01/2019 to 31/12/2019,CCG,E38000004,07L,"NHS Barking and Dagenham CCG",Person,68.6,53.7,86.2,219504,80
2019,01/01/2019 to 31/12/2019,CCG,E38000006,02P,"NHS Barnsley CCG",Person,87,75.6,99.7,240912,208
2019,01/01/2019 to 31/12/2019,CCG,E38000007,99E,"NHS Basildon and Brentwood CCG",Person,60.8,51.2,71.6,258395,144
2019,01/01/2019 to 31/12/2019,CCG,E38000008,02Q,"NHS Bassetlaw CCG",Person,74.3,59.5,91.6,107201,88
2019,01/01/2019 to 31/12/2019,CCG,E38000231,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Person,55.2,50.4,60.4,862277,480
2019,01/01/2019 to 31/12/2019,CCG,E38000010,06F,"NHS Bedfordshire CCG",Person,60.5,53.3,68.5,449110,253
2019,01/01/2019 to 31/12/2019,CCG,E38000221,15A,"NHS Berkshire West CCG",Person,46.9,40.6,53.8,512680,201
2019,01/01/2019 to 31/12/2019,CCG,E38000220,15E,"NHS Birmingham and Solihull CCG",Person,69,63.8,74.6,1231452,655
2019,01/01/2019 to 31/12/2019,CCG,E38000014,00Q,"NHS Blackburn with Darwen CCG",Person,92.1,76.6,109.8,165843,125
2019,01/01/2019 to 31/12/2019,CCG,E38000015,00R,"NHS Blackpool CCG",Person,91.2,77.3,106.9,158000,153
2019,01/01/2019 to 31/12/2019,CCG,E38000016,00T,"NHS Bolton CCG",Person,101.5,89.5,114.6,290748,261
2019,01/01/2019 to 31/12/2019,CCG,E38000232,36J,"NHS Bradford District and Craven CCG",Person,88.9,80.7,97.7,595317,435
2019,01/01/2019 to 31/12/2019,CCG,E38000020,07P,"NHS Brent CCG",Person,63.8,53.7,75.3,373409,151
2019,01/01/2019 to 31/12/2019,CCG,E38000021,09D,"NHS Brighton and Hove CCG",Person,62.2,52.1,73.7,302811,137
2019,01/01/2019 to 31/12/2019,CCG,E38000222,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",Person,57.7,52.6,63.3,945754,460
2019,01/01/2019 to 31/12/2019,CCG,E38000223,14Y,"NHS Buckinghamshire CCG",Person,46.5,40.6,53,516504,227
2019,01/01/2019 to 31/12/2019,CCG,E38000024,00V,"NHS Bury CCG",Person,68.4,56.9,81.6,189873,124
2019,01/01/2019 to 31/12/2019,CCG,E38000025,02T,"NHS Calderdale CCG",Person,70.2,59,82.9,204797,140
2019,01/01/2019 to 31/12/2019,CCG,E38000026,06H,"NHS Cambridgeshire and Peterborough CCG",Person,57.8,52.6,63.4,911365,454
